"","IDS","SAMPLES","CONDITION","TYPE","SEX","MousID","Geno_cond","Genotype","CondType","Label"
"c..S20....KODr2....IP....M....LL2..","S20_KODr2_IP_M_LL2","S20","KODr2","IP","M","LL2","KODr","KO","Dr","S20_KODr2_IP_LL2"
"c..S21....KODr4....IP....M....LL1Pnk..","S21_KODr4_IP_M_LL1Pnk","S21","KODr4","IP","M","LL1Pnk","KODr","KO","Dr","S21_KODr4_IP_LL1Pnk"
"c..S22....KODr5....IP....M....LL2..","S22_KODr5_IP_M_LL2","S22","KODr5","IP","M","LL2","KODr","KO","Dr","S22_KODr5_IP_LL2"
"c..S24....KODr7....IP....F....LL1..","S24_KODr7_IP_F_LL1","S24","KODr7","IP","F","LL1","KODr","KO","Dr","S24_KODr7_IP_LL1"
"c..S25....KODr8....IP....F....LL2..","S25_KODr8_IP_F_LL2","S25","KODr8","IP","F","LL2","KODr","KO","Dr","S25_KODr8_IP_LL2"
"c..S26....KODr9....IP....F....RL2..","S26_KODr9_IP_F_RL2","S26","KODr9","IP","F","RL2","KODr","KO","Dr","S26_KODr9_IP_RL2"
"c..S11....KOMch1....IP....M....LL1..","S11_KOMch1_IP_M_LL1","S11","KOMch1","IP","M","LL1","KOMch","KO","Mch","S11_KOMch1_IP_LL1"
"c..S12s....KOMch2....IP....F....LL2..","S12s_KOMch2_IP_F_LL2","S12s","KOMch2","IP","F","LL2","KOMch","KO","Mch","S12s_KOMch2_IP_LL2"
"c..S13s....KOMch3....IP....F....LL3..","S13s_KOMch3_IP_F_LL3","S13s","KOMch3","IP","F","LL3","KOMch","KO","Mch","S13s_KOMch3_IP_LL3"
"c..S14s....KOMch4....IP....M....LL1..","S14s_KOMch4_IP_M_LL1","S14s","KOMch4","IP","M","LL1","KOMch","KO","Mch","S14s_KOMch4_IP_LL1"
"c..S15s....KOMch5....IP....M....LL2..","S15s_KOMch5_IP_M_LL2","S15s","KOMch5","IP","M","LL2","KOMch","KO","Mch","S15s_KOMch5_IP_LL2"
"c..S16....KOMch6....IP....F....LL3..","S16_KOMch6_IP_F_LL3","S16","KOMch6","IP","F","LL3","KOMch","KO","Mch","S16_KOMch6_IP_LL3"
"c..S18....KOMch8....IP....M....RL2..","S18_KOMch8_IP_M_RL2","S18","KOMch8","IP","M","RL2","KOMch","KO","Mch","S18_KOMch8_IP_RL2"
"c..S19....KOMch9....IP....M....RL3..","S19_KOMch9_IP_M_RL3","S19","KOMch9","IP","M","RL3","KOMch","KO","Mch","S19_KOMch9_IP_RL3"
"c..S10....WTMch10....IP....F....RL1..","S10_WTMch10_IP_F_RL1","S10","WTMch10","IP","F","RL1","WTMch","WT","Mch","S10_WTMch10_IP_RL1"
"c..S8....WTMch8....IP....F....LL2..","S8_WTMch8_IP_F_LL2","S8","WTMch8","IP","F","LL2","WTMch","WT","Mch","S8_WTMch8_IP_LL2"
"c..S9....WTMch9....IP....M....LL3..","S9_WTMch9_IP_M_LL3","S9","WTMch9","IP","M","LL3","WTMch","WT","Mch","S9_WTMch9_IP_LL3"
